,days,prices_usd,volumes_usd,prices_delta,prices_delta_sign,volumes_delta,volumes_delta_sign
265,266,214.21545952365315,4855739.379682949,-14.95412880925295,-1,3642515.845224203,1
266,267,218.6335016403994,3099264.099059507,4.41804211674625,1,-1756475.280623442,-1
267,268,227.102995505877,2096681.4427462127,8.469493865477602,1,-1002582.6563132941,-1
268,269,226.33145687164472,1706638.0294564296,-0.7715386342322859,-1,-390043.41328978306,-1
269,270,231.1597923033379,2054958.6122629314,4.828335431693176,1,348320.58280650177,1
270,271,230.62438352855827,977884.4230050768,-0.5354087747796257,-1,-1077074.1892578546,-1
271,272,228.78419435057012,1167718.2417255614,-1.840189177988151,-1,189833.81872048462,1
272,273,230.49264699835112,1699056.5978736018,1.7084526477810016,1,531338.3561480404,1
273,274,228.32813686026276,1862465.0689604501,-2.1645101380883602,-1,163408.4710868483,1
274,275,229.47078518607512,1724331.5844782938,1.1426483258123596,1,-138133.48448215635,-1
275,276,227.84101597034393,1479828.703055919,-1.6297692157311872,-1,-244502.88142237486,-1
276,277,230.58171743143174,1609161.1638475792,2.7407014610878093,1,129332.46079166024,1
277,278,235.67489588736737,1563998.5754642538,5.093178455935629,1,-45162.588383325376,-1
278,279,241.54987743026214,1091134.6592119702,5.874981542894773,1,-472863.9162522836,-1
279,280,241.25045763440855,1280616.1470508263,-0.2994197958535949,-1,189481.48783885618,1
280,281,244.14466497676264,1920326.0849388435,2.8942073423540933,1,639709.9378880172,1
281,282,240.54030060383135,1588467.4877167868,-3.604364372931286,-1,-331858.5972220567,-1
282,283,239.33882315521726,1435027.1721777453,-1.2014774486140993,-1,-153440.31553904153,-1
283,284,240.53878192699906,1420596.5301640115,1.1999587717818088,1,-14430.64201373374,-1
284,285,237.87927610619516,1198956.524914615,-2.6595058208039006,-1,-221640.00524939643,-1
285,286,232.2465544412617,1388034.0922750204,-5.632721664933456,-1,189077.56736040534,1
286,287,231.5127692307704,1785183.38370735,-0.7337852104913054,-1,397149.29143232945,1
287,288,231.13327359389828,1721223.1413985628,-0.3794956368721216,-1,-63960.24230878707,-1
288,289,229.34360689214702,1677435.854885088,-1.7896667017512584,-1,-43787.28651347477,-1
289,290,232.78868986582276,1721627.4219366238,3.4450829736757385,1,44191.567051535705,1
290,291,233.70506106497288,1056867.7094511664,0.9163711991501202,1,-664759.7124854573,-1
291,292,232.73301624548694,728718.8638704014,-0.9720448194859443,-1,-328148.84558076505,-1
292,293,232.62562986003152,966812.0244621,-0.10738638545541335,-1,238093.1605916986,1
293,294,228.4298735832602,1846275.744110248,-4.195756276771334,-1,879463.719648148,1
294,295,230.63660820072198,1982034.197898467,2.206734617461791,1,135758.45378821902,1
295,296,230.92830734672359,1513485.2754995811,0.29169914600160496,1,-468548.92239888594,-1
296,297,233.59637270393043,2070428.6079296356,2.6680653572068422,1,556943.3324300544,1
297,298,236.13674726730392,1475472.2355838318,2.54037456337349,1,-594956.3723458038,-1
298,299,234.81134370140109,898515.1895732937,-1.3254035659028318,-1,-576957.0460105381,-1
299,300,234.41951432527097,936092.3677120913,-0.3918293761301186,-1,37577.17813879764,1
300,301,239.09552539333166,2042255.0926199784,4.676011068060689,1,1106162.7249078872,1
301,302,238.25891044379392,1512025.029800447,-0.8366149495377329,-1,-530230.0628195314,-1
302,303,237.53892783728116,1275434.4580996572,-0.7199826065127581,-1,-236590.57170078973,-1
303,304,238.34016845912325,1374672.274435409,0.8012406218420836,1,99237.81633575191,1
304,305,238.30353584295992,1372086.473227635,-0.03663261616333102,-1,-2585.801207774086,-1
305,306,239.67046414305,1007849.5110815009,1.3669283000900805,1,-364236.9621461341,-1
306,307,239.7218287541784,1077487.4375176115,0.05136461112840607,1,69637.92643611063,1
307,308,239.7946984004616,1760206.2552979945,0.07286964628320902,1,682718.8177803829,1
308,309,245.57007074544583,2453027.9746100637,5.77537234498422,1,692821.7193120692,1
309,310,245.06597124035667,2017537.9200695902,-0.5040995050891581,-1,-435490.0545404735,-1
310,311,243.829797092435,1373907.4443312862,-1.2361741479216732,-1,-643630.475738304,-1
311,312,244.37302150208964,1107948.5477009236,0.5432244096546412,1,-265958.8966303626,-1
312,313,245.30884358289475,957318.3330802891,0.9358220808051101,1,-150630.21462063456,-1
313,314,248.43847047261417,1096421.3357596793,3.129626889719418,1,139103.00267939025,1
314,315,246.9671672420418,1353749.7897439979,-1.4713032305723743,-1,257328.45398431853,1
315,316,250.09794193196882,1690735.0001839884,3.130774689927023,1,336985.2104399905,1
316,317,253.2934022911065,1953479.3412450622,3.195460359137684,1,262744.3410610738,1
317,318,255.48005729693193,1610133.6174001624,2.186655005825429,1,-343345.7238448998,-1
318,319,262.2269677737377,2573281.1669376977,6.746910476805795,1,963147.5495375353,1
319,320,270.7442685986726,2725655.9414651194,8.517300824934864,1,152374.7745274217,1
320,321,267.14564669815354,1561613.9836948419,-3.598621900519049,-1,-1164041.9577702775,-1
321,322,265.26234441924964,1247240.7333700291,-1.8833022789038978,-1,-314373.2503248127,-1
322,323,270.56721548238,1541442.8576506318,5.304871063130349,1,294202.1242806027,1
323,324,268.89165748243994,1584452.137744363,-1.6755579999400538,-1,43009.280093731126,1
324,325,275.04463198152445,2521166.3165722294,6.152974499084507,1,936714.1788278664,1
325,326,278.7018376220061,1864148.7768761895,3.6572056404816635,1,-657017.5396960399,-1
326,327,282.7370378173411,1991802.3167356665,4.035200195334994,1,127653.53985947696,1
327,328,289.31868893283513,2811532.046344334,6.581651115494026,1,819729.7296086673,1
328,329,286.2116816652349,2309136.6550267907,-3.1070072676002383,-1,-502395.3913175431,-1
329,330,296.0598967791304,3648922.589851751,9.848215113895492,1,1339785.9348249603,1
330,331,303.09869290332153,4423750.738715959,7.038796124191151,1,774828.1488642078,1
331,332,320.13831793449293,5345595.255440064,17.039625031171397,1,921844.516724105,1
332,333,328.34751431401185,4100751.8729957906,8.209196379518914,1,-1244843.3824442732,-1
333,334,317.443896620636,4730740.808444175,-10.90361769337585,-1,629988.9354483844,1
334,335,323.3185854679701,3718756.4541385574,5.874688847334085,1,-1011984.3543056175,-1
335,336,350.1626416941754,8543423.37842135,26.84405622620534,1,4824666.924282792,1
