ID;Date;Axe;Départ;Arrivée;Nombre de trains programmés;Nombre de trains ayant circulé;Nombre de trains annulés;Nombre de trains en retard à l'arrivée;Taux de régularité;Nombre de trains à l'heure pour un train en retard
INT_24_A;2014-04;Nord-Normandie;PARIS ST LAZARE;TROUVILLE DEAUVILLE;88;87;1;9;89.7;8.7
INT_16_B;2014-04;Atlantique Méd.;TOULOUSE MATABIAU;HENDAYE;104;104;0;6;94.2;16.3
INT_11_A;2014-05;Centre Sud-Ouest;CERBERE;PARIS AUSTERLITZ;354;353;1;24;93.2;13.7
INT_6_B;2014-05;Atlantique Méd.;NANTES;BORDEAUX ST JEAN;287;285;2;18;93.7;14.8
INT_3_B;2014-05;Est Centre;CLERMONT FERRAND;BÉZIERS;306;305;1;15;95.1;19.3
INT_13_A;2014-05;Est Centre;CLERMONT FERRAND;NÎMES;250;249;1;23;90.8;9.8
INT_25_B;2014-04;Nord-Normandie;ROUEN;PARIS ST LAZARE;289;286;3;18;93.7;14.9
INT_4_B;2014-04;Atlantique Méd.;NICE;BORDEAUX ST JEAN;180;180;0;37;79.4;3.9
INT_20_B;2014-04;Est Centre;PARIS BERCY;NEVERS;130;130;0;16;87.7;7.1
INT_23_A;2014-04;Est Centre;PARIS EST;TROYES;285;284;1;19;93.3;13.9
INT_24_B;2014-03;Nord-Normandie;TROUVILLE DEAUVILLE;PARIS ST LAZARE;78;78;0;4;94.9;18.5
INT_8_B;2014-02;Centre Sud-Ouest;PARIS AUSTERLITZ;BOURGES;111;110;1;14;87.3;6.9
INT_17_B;2014-03;Nord-Normandie;PARIS ST LAZARE;LE HAVRE;354;354;0;24;93.2;13.8
INT_25_A;2014-03;Nord-Normandie;PARIS ST LAZARE;ROUEN;331;325;6;18;94.5;17.1
INT_9_B;2014-03;Nord-Normandie;PARIS ST LAZARE;CAEN;244;241;3;23;90.5;9.5
INT_5_A;2014-03;Est Centre;BORDEAUX ST JEAN;LIMOGES;31;31;0;1;96.8;30.0
INT_19_B;2014-03;Nord-Normandie;PARIS NORD;MAUBEUGE;300;300;0;18;94.0;15.7
INT_1_A;2014-03;Nord-Normandie;AMIENS;PARIS NORD;214;212;2;34;84.0;5.2
INT_23_A;2014-02;Est Centre;PARIS EST;TROYES;261;259;2;26;90.0;9.0
INT_10_A;2014-03;Nord-Normandie;CAEN;TOURS;69;67;2;7;89.6;8.6
INT_15_B;2014-01;Nord-Normandie;PARIS VAUGIRARD;GRANVILLE;165;165;0;8;95.2;19.6
INT_11_A;2014-01;Centre Sud-Ouest;CERBERE;PARIS AUSTERLITZ;311;309;2;24;92.2;11.9
INT_8_A;2014-01;Centre Sud-Ouest;BOURGES;PARIS AUSTERLITZ;123;121;2;9;92.6;12.4
INT_22_B;2014-01;Centre Sud-Ouest;TOURS;PARIS AUSTERLITZ;124;124;0;16;87.1;6.8
INT_14_B;2014-01;Est Centre;PARIS BERCY;CLERMONT FERRAND;233;233;0;13;94.4;16.9
INT_3_B;2014-01;Est Centre;CLERMONT FERRAND;BÉZIERS;31;31;0;1;96.8;30.0
INT_25_B;2014-01;Nord-Normandie;ROUEN;PARIS ST LAZARE;294;293;1;20;93.2;13.7
INT_7_A;2014-01;Nord-Normandie;BOULOGNE;PARIS NORD;157;156;1;18;88.5;7.7
INT_18_B;2014-01;Est Centre;NANTES;LYON PART DIEU;17;17;0;2;88.2;7.5
INT_13_B;2014-01;Est Centre;NÎMES;CLERMONT FERRAND;31;31;0;0;100.0;
INT_12_A;2014-10;Nord-Normandie;CHERBOURG;PARIS ST LAZARE;197;197;0;22;88.8;8.0
INT_6_B;2014-10;Atlantique Méd.;NANTES;BORDEAUX ST JEAN;71;71;0;11;84.5;5.5
INT_3_B;2014-10;Est Centre;CLERMONT FERRAND;BÉZIERS;27;27;0;2;92.6;12.5
INT_18_A;2014-10;Est Centre;LYON PART DIEU;NANTES;108;108;0;7;93.5;14.4
INT_2_A;2014-10;Est Centre;BELFORT;PARIS EST;125;124;1;19;84.7;5.5
INT_10_B;2014-10;Nord-Normandie;TOURS;CAEN;62;62;0;7;88.7;7.9
INT_13_B;2014-10;Est Centre;NÎMES;CLERMONT FERRAND;35;27;8;0;100.0;
INT_11_B;2014-06;Centre Sud-Ouest;PARIS AUSTERLITZ;CERBERE;209;209;0;33;84.2;5.3
INT_6_A;2014-06;Atlantique Méd.;BORDEAUX ST JEAN;NANTES;50;50;0;12;76.0;3.2
INT_12_B;2014-06;Nord-Normandie;PARIS ST LAZARE;CHERBOURG;138;138;0;18;87.0;6.7
INT_16_A;2014-06;Atlantique Méd.;HENDAYE;TOULOUSE MATABIAU;80;79;1;11;86.1;6.2
INT_13_A;2014-06;Est Centre;CLERMONT FERRAND;NÎMES;20;20;0;1;95.0;19.0
INT_18_A;2014-06;Est Centre;LYON PART DIEU;NANTES;63;60;3;7;88.3;7.6
INT_25_B;2014-06;Nord-Normandie;ROUEN;PARIS ST LAZARE;217;217;0;21;90.3;9.3
INT_1_B;2014-06;Nord-Normandie;PARIS NORD;AMIENS;227;227;0;46;79.7;3.9
INT_20_B;2014-06;Est Centre;PARIS BERCY;NEVERS;108;107;1;16;85.0;5.7
INT_10_B;2014-06;Nord-Normandie;TOURS;CAEN;43;43;0;9;79.1;3.8
INT_11_B;2014-09;Centre Sud-Ouest;PARIS AUSTERLITZ;CERBERE;272;269;3;31;88.5;7.7
INT_16_B;2014-08;Atlantique Méd.;TOULOUSE MATABIAU;HENDAYE;106;96;10;26;72.9;2.7
INT_8_B;2014-08;Centre Sud-Ouest;PARIS AUSTERLITZ;BOURGES;117;117;0;12;89.7;8.8
INT_11_A;2014-09;Centre Sud-Ouest;CERBERE;PARIS AUSTERLITZ;273;269;4;28;89.6;8.6
INT_4_A;2014-08;Atlantique Méd.;BORDEAUX ST JEAN;NICE;196;196;0;43;78.1;3.6
INT_12_A;2014-09;Nord-Normandie;CHERBOURG;PARIS ST LAZARE;190;190;0;14;92.6;12.6
INT_3_B;2014-08;Est Centre;CLERMONT FERRAND;BÉZIERS;31;31;0;4;87.1;6.8
INT_4_B;2014-07;Atlantique Méd.;NICE;BORDEAUX ST JEAN;190;186;4;43;76.9;3.3
INT_7_B;2014-08;Nord-Normandie;PARIS NORD;BOULOGNE;68;68;0;3;95.6;21.7
INT_10_B;2014-08;Nord-Normandie;TOURS;CAEN;62;62;0;5;91.9;11.4
INT_16_A;2014-04;Atlantique Méd.;HENDAYE;TOULOUSE MATABIAU;81;80;1;6;92.5;12.3
INT_8_A;2014-04;Centre Sud-Ouest;BOURGES;PARIS AUSTERLITZ;143;143;0;23;83.9;5.2
INT_12_A;2014-04;Nord-Normandie;CHERBOURG;PARIS ST LAZARE;190;190;0;12;93.7;14.8
INT_22_B;2014-03;Centre Sud-Ouest;TOURS;PARIS AUSTERLITZ;123;123;0;17;86.2;6.2
INT_14_B;2014-03;Est Centre;PARIS BERCY;CLERMONT FERRAND;232;232;0;15;93.5;14.5
INT_6_B;2014-04;Atlantique Méd.;NANTES;BORDEAUX ST JEAN;69;69;0;8;88.4;7.6
INT_13_A;2014-04;Est Centre;CLERMONT FERRAND;NÎMES;30;30;0;3;90.0;9.0
INT_18_A;2014-04;Est Centre;LYON PART DIEU;NANTES;96;96;0;5;94.8;18.2
INT_23_A;2014-03;Est Centre;PARIS EST;TROYES;280;279;1;30;89.2;8.3
INT_3_A;2014-04;Est Centre;BÉZIERS;CLERMONT FERRAND;11;11;0;0;100.0;
INT_17_B;2014-09;Nord-Normandie;PARIS ST LAZARE;LE HAVRE;352;350;2;26;92.6;12.5
INT_14_A;2014-09;Est Centre;CLERMONT FERRAND;PARIS BERCY;228;227;1;18;92.1;11.6
INT_8_A;2014-09;Centre Sud-Ouest;BOURGES;PARIS AUSTERLITZ;117;117;0;21;82.1;4.6
INT_22_B;2014-09;Centre Sud-Ouest;TOURS;PARIS AUSTERLITZ;111;111;0;22;80.2;4.0
INT_14_B;2014-09;Est Centre;PARIS BERCY;CLERMONT FERRAND;229;228;1;11;95.2;19.7
INT_4_B;2014-09;Atlantique Méd.;NICE;BORDEAUX ST JEAN;170;164;6;40;75.6;3.1
INT_19_A;2014-09;Nord-Normandie;MAUBEUGE;PARIS NORD;294;286;8;36;87.4;6.9
INT_1_A;2014-10;Nord-Normandie;AMIENS;PARIS NORD;227;226;1;58;74.3;2.9
INT_23_A;2014-09;Est Centre;PARIS EST;TROYES;264;263;1;18;93.2;13.6
INT_23_B;2014-09;Est Centre;TROYES;PARIS EST;232;230;2;19;91.7;11.1
INT_24_A;2014-05;Nord-Normandie;PARIS ST LAZARE;TROUVILLE DEAUVILLE;123;123;0;18;85.4;5.8
INT_16_B;2014-05;Atlantique Méd.;TOULOUSE MATABIAU;HENDAYE;68;68;0;2;97.1;33.0
INT_8_B;2014-05;Centre Sud-Ouest;PARIS AUSTERLITZ;BOURGES;191;191;0;22;88.5;7.7
INT_15_B;2014-05;Nord-Normandie;PARIS VAUGIRARD;GRANVILLE;128;128;0;7;94.5;17.3
INT_12_B;2014-05;Nord-Normandie;PARIS ST LAZARE;CHERBOURG;31;31;0;1;96.8;30.0
INT_17_B;2014-05;Nord-Normandie;PARIS ST LAZARE;LE HAVRE;183;183;0;29;84.2;5.3
INT_15_A;2014-05;Nord-Normandie;GRANVILLE;PARIS VAUGIRARD;85;84;1;5;94.0;15.8
